id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
9020860,14120711311000163000000000U7,380 EVENTOS,,812990,Otros servicios personales,0 a 5 personas,CALLE,VIOLETA,OTRO(ESPECIFIQUE),NINGUNO,CALLE,SAN JORGE,CALLE,GLADIOLA,336.0,,,,,,COLONIA,AGRICOLA,,,,45236.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,2524,2,3315146042.0,,WWW.380EVENTOS.COM,Fijo,20.61771812,-103.43175618,2019-11
1685733,14039812990001561000000000U2,ADOGS STYLE,,812990,Otros servicios personales,0 a 5 personas,CALLE,MANUEL R ALATORRE,CALLE,ANA MARIA SANCHEZ,CALLE,LAURA APODACA,CALLE,LORETO M. MENDEZ,4123.0,,,,0.0,,COLONIA,TETLAN,,,,44820.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,5173,32,3315318578.0,,,Fijo,20.64868727,-103.28076963,2014-12
8742919,14120722320000351000000000U6,AGENCIA DE EVENTOS PROMOTEX,,812990,Otros servicios personales,0 a 5 personas,CALLE,VOLCAN COFRE DE PEROTE,CALLE,VOLCAN TANCITARO,CALLE,VOLCAN DE COLIMA,CALLE,VOLCAN JORULLO,1993.0,A,,,0.0,,COLONIA,COLLI URBANO,,,,45070.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,4431,19,,,,Fijo,20.64654423,-103.43473124,2019-11
10163384,14098812990000441000000000U4,ALEX FUTURO,,812990,Otros servicios personales,0 a 5 personas,CALLE,ROSA DE CASTILLA,CALLE,BELEN,CALLE,LIRIO,CALLE,ROSA DE CASTILLA,103.0,,FRANCISCO MARQUEZ,PASILLO,46.0,,MANZANA,ROSA DE CASTILLA,MERCADO PUBLICO,FRANCISCO MARQUEZ,46,45606.0,14,Jalisco,98,San Pedro Tlaquepaque,1,Tlaquepaque                                                                                                   ,1951,41,3317437643.0,,,Fijo,20.60038455,-103.38761584,2024-11
11135008,14097812990000261000000000S8,AMAROK ESTETICA CANINA,SMARTDOGAMRK  SA DE CV,812990,Otros servicios personales,0 a 5 personas,BOULEVARD,BOSQUES DE SANTA ANITA,PRIVADA,NINGUNO,PRIVADA,NINGUNO,CALLE,CAMINO A LAS MORAS,211.0,,CENTRO Y PLAZA COMERCIAL SIN NOMBRE,PLANTA BAJA,4.0,,COLONIA,SAN AGUSTIN,CENTRO Y PLAZA COMERCIAL,CENTRO Y PLAZA COMERCIAL SIN NOMBRE,SN,45645.0,14,Jalisco,97,Tlajomulco de Zúñiga,25,San Agustín                                                                                                   ,0994,1,,AMAROKSANTANITA@GMAIL.COM,,Fijo,20.56493613,-103.47649015,2024-11
1836842,14039465911001031000000000U2,ANIMAL LAND,,812990,Otros servicios personales,0 a 5 personas,CALLE,EJIDO,CALLE,LINDA VISTA,CALLE,EUROPA,CALLE,ROSA NAVARRO,640.0,,,,0.0,,COLONIA,OLIMPICA,,,,44810.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,2287,1,,,,Fijo,20.65299774,-103.30725429,2010-07
1684700,14039812990001541000000000U4,ANIMAL NATURE,,812990,Otros servicios personales,0 a 5 personas,CALLE,JUSTO CORRO,CALLE,JOSE MARIA CASTAÑOS,CALLE,RAMOS ARIZPE,AVENIDA,PRESIDENTES,2222.0,A,,,0.0,,SECCION,OLIMPICA,,,,44880.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,2268,3,,,,Fijo,20.64939356,-103.31288576,2014-12
1689391,14039812990001211000000000U4,ANIMAL NATURE,,812990,Otros servicios personales,6 a 10 personas,CALLE,SALVADOR LOPEZ CHAVEZ,AVENIDA,5 DE FEBRERO,CALLE,RIO TUXPAN,CALLE,RIO PAPALOAPAN,1095.0,,,,0.0,,COLONIA,OLIMPICA,,,,44430.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,3849,18,3336192758.0,ANIMAL_NATURE_VET@OUTLOOK.COM,,Fijo,20.65636781,-103.33080169,2014-12
1799745,14039812990001581000000000U0,ARCANOS MAYORES,,812990,Otros servicios personales,0 a 5 personas,AVENIDA,MEXICO,CALLE,AMADO NERVO,AVENIDA,AVENIDA DE LAS AMERICAS,CALLE,MANUEL CABALLERO,2285.0,,,,0.0,,COLONIA,LADRON DE GUEVARA,,,,44600.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,1306,9,3336169442.0,,,Fijo,20.67901991,-103.3745251,2014-12
8982548,14039812990001631000000000U3,BARBER CAN,,812990,Otros servicios personales,0 a 5 personas,CALLE,MANUEL M PONCE,CALLE,ENRIQUE GRANADOS,CALLE,MIGUEL BERNAL,CALLE,RICARDO PALMERIN,155.0,,,,0.0,,COLONIA,TETLAN,,,,44810.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,4512,24,3328132872.0,,,Fijo,20.65863144,-103.29335397,2019-11
1696845,14120812990000851000000000U6,BESTER FREUND HOTEL PARA PERROS,,812990,Otros servicios personales,0 a 5 personas,CALLE,VOLCAN PARICUTIN,CALLE,VOLCAN VESUBIO,CALLE,VOLCAN TANCITARO,CALLE,VOLCAN POPOCATEPETL,6194.0,,,,0.0,,COLONIA,COLLI URBANO,,,,45070.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,4431,4,,,,Fijo,20.64343061,-103.4349776,2014-12
10854307,14120812990001511000000000U5,BLACK DOG VETERINARIA,,812990,Otros servicios personales,0 a 5 personas,CALLE,SAGITARIO,CALLE,CRUZ DEL SUR,CALLE,ALIOTH,CALLE,CARNERO,3780.0,A,,,,,COLONIA,LA CALMA,,,,45070.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,0706,13,3314271304.0,,,Fijo,20.63241024,-103.41844148,2024-11
7867316,14101463215000671000000000U2,BODEGA DE ARTESANIAS,,812990,Otros servicios personales,0 a 5 personas,CALLE,SANTOS DEGOLLADO,CALLE,MATAMOROS,CALLE,CRUZ BLANCA,CALLE,JAVIER MINA,211.0,,,,0.0,,COLONIA,CENTRO,,,,45400.0,14,Jalisco,101,Tonalá,1,Tonalá                                                                                                        ,0927,29,3314113004.0,,,Fijo,20.6207802,-103.24645616,2019-11
7113765,14120812990001001000000000U7,BUBBLE CAN ESTETICA CANINA,,812990,Otros servicios personales,0 a 5 personas,CALLE,GALAXIA,CALLE,PISCIS,CALLE,SAGITARIO,CALLE,PASEO DEL ROCIO,4055.0,,,,0.0,,COLONIA,LOMAS ALTAS,,,,45128.0,14,Jalisco,120,Zapopan,1,Zapopan                                                                                                       ,2350,28,3310613894.0,,,Fijo,20.68333842,-103.40921225,2019-11
10748185,14039812990002381000000000U4,CAFE Y CARTAS,,812990,Otros servicios personales,0 a 5 personas,CALLE,SOTO Y GAMA,CALLE,ADOLFO PALACIO,CALLE,ANGEL MARTINEZ,CALLE,BENIGNO ABUNDIS,1217.0,B,,,,,COLONIA,HUENTITAN,,,,44240.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,4442,3,,,,Fijo,20.72187121,-103.33171773,2024-11
11071928,14039812990002191000000000U7,CASA DE CITAS,,812990,Otros servicios personales,0 a 5 personas,CALLE,ALVARO OBREGON,CALLE,CASTELLANOS Y TAPIA,CALLE,BASILIO BADILLO,AVENIDA,JAVIER MINA,1301.0,,,,,,COLONIA,LA PENAL,,,,44730.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,1683,20,,,,Fijo,20.667624,-103.31732308,2024-11
11245501,14039812990002321000000000U0,CASA DE CITAS,,812990,Otros servicios personales,0 a 5 personas,CALLE,CASTELLANOS Y TAPIA,CALLE,ALVARO OBREGON,AVENIDA,JAVIER MINA,CALLE,BASILIO BADILLO,62.0,,,,,,COLONIA,LA PENAL,,,,44730.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,1683,20,,,,Fijo,20.66779641,-103.31731513,2024-11
8694182,14039434311002531000000000U1,CASA DE CITAS,,812990,Otros servicios personales,0 a 5 personas,CALLE,GIGANTES,CALLE,BASILIO BADILLO,CALLE,CASTELLANOS Y TAPIA,CALLE,ALVARO OBREGON,1313.0,,,,0.0,,COLONIA,LA PENAL,,,,44730.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,1683,19,,,,Fijo,20.66656919,-103.3176212,2019-11
9850840,14039812990002362000000000U4,CASA DE CITAS,,812990,Otros servicios personales,6 a 10 personas,CALLE,12 DE OCTUBRE,CALLE,ANTONIO TELLO,CALLE,EDISON,CALLE,GOMEZ FARIAS,405.0,,,,,,COLONIA,LA LOMA,,,,44410.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,1965,12,,,,Fijo,20.66570451,-103.31901025,2024-11
10103122,14039812990002342000000000U6,CASA DE CITAS,,812990,Otros servicios personales,6 a 10 personas,CALLE,CASTELLANOS Y TAPIA,CALLE,ALVARO OBREGON,AVENIDA,JAVIER MINA,CALLE,BASILIO BADILLO,64.0,,,,,,COLONIA,LA PENAL,,,,44730.0,14,Jalisco,39,Guadalajara,1,Guadalajara                                                                                                   ,1683,20,,,,Fijo,20.66787838,-103.31727738,2024-11
